TLINKIDP1,LENGTH,geometry
10123421,48,"LINESTRING (127.28821599691875 36.469786611319954, 127.28832777203377 36.46989821283594, 127.28857379159119 36.470119727178734)"
10123422,613,"LINESTRING (127.29484347085494 36.47205106511211, 127.29389588098901 36.4718478998245, 127.29264567601753 36.47171306167509, 127.29193650491081 36.47160985075178, 127.29132555185772 36.471468349754446, 127.29066632127888 36.47125193482633, 127.28992884814677 36.470950617583306, 127.289489360406 36.47073087182621, 127.28910980247767 36.47050446667085, 127.2887235853103 36.470238107305555, 127.28857379159119 36.470119727178734)"
10123431,1431,"MULTILINESTRING ((127.2748813137831 36.46359035982091, 127.2754467212949 36.46389209152079, 127.27742442916666 36.46458012893369, 127.27988946494165 36.465498030122646), (127.27961216569526 36.46526826231269, 127.28013938670902 36.46559109306673, 127.28315007497275 36.46671217793736, 127.28505618408273 36.467393053606706, 127.28544240030683 36.467556197828806, 127.28578533393605 36.46772933087043, 127.28610163209662 36.4679057935911, 127.28651448491291 36.468188800402494, 127.28686074889063 36.468461819047405, 127.28734185658573 36.468899648169014, 127.28755283084624 36.46911732703798, 127.28784962541695 36.46942080883318, 127.28821599691875 36.469786611319954))"
10123432,24,"LINESTRING (127.28013938670902 36.46559109306673, 127.27988946494165 36.465498030122646)"
10194321,28,"LINESTRING (127.28225162113235 36.249999961048296, 127.2822749307984 36.25025985681167)"
10194322,492,"MULTILINESTRING ((127.28209774510317 36.24999995989983, 127.28173392874339 36.246022924955206), (127.28219671832474 36.25107396525542, 127.28215454585781 36.250621158442904))"
10194361,256,"LINESTRING (127.32155752320047 36.290046433459885, 127.3226314467978 36.28951353226628, 127.32308918187427 36.289309901194585, 127.32349497066267 36.28913941458056, 127.32389889217468 36.288998525932534, 127.3240675146987 36.28895061949156)"
10194362,874,"LINESTRING (127.3301837922315 36.28884162673335, 127.32854144994198 36.2888563307205, 127.32660260466137 36.28886373914772, 127.3260006557569 36.28887324739421, 127.32557045416561 36.28889325981698, 127.32511023867727 36.28893328230174, 127.32469404406936 36.28899931737733, 127.32427184693404 36.289097368304354, 127.32386965939942 36.289219430975365, 127.32323736498446 36.289457552336906, 127.3218262232636 36.29006255613898, 127.32088594667243 36.29047648780831)"
10194392,928,"LINESTRING (127.3462528052692 36.2883328885562, 127.34512265299647 36.28848647809388, 127.34439762617114 36.28856853540511, 127.34370079629903 36.28863385367325, 127.34313493507146 36.28867863572451, 127.34230892012117 36.288736498246706, 127.34114281082711 36.28878409966737, 127.34055079167543 36.28878922984811, 127.33911425187488 36.28880010428175, 127.33706258895222 36.28880380178751, 127.3359503152389 36.28880711494508)"
10194401,295,"LINESTRING (127.3288622110671 36.287305022138426, 127.32880244904098 36.287192133660994, 127.32869123652902 36.28703928151424, 127.3286467266464 36.28698198881547, 127.32854232421784 36.28687864699763, 127.32843227159631 36.28676692578911, 127.32829553993048 36.28667021215172, 127.32815880826466 36.286573498514336, 127.3280137395354 36.28649679481109, 127.32789201525341 36.28643843336467, 127.32774354591298 36.28636705514815, 127.3276296057398 36.28632066822164, 127.32749745857919 36.2862750657018, 127.32736002002298 36.28624613538444, 127.32718783654116 36.28621330044486, 127.32704196584565 36.28619674781358, 127.32678902130465 36.28618232610373, 127.3261345152808 36.28617893984244)"
