id,shape
1210005305,"155.66,4598.77 117.68,4563.46 65.86,4504.40 6.44,4435.74"
1210005702,"191.59,4262.61 201.42,4244.84 202.25,4244.07"
1210006000,"204.79,4473.27 208.27,4467.70 214.28,4451.14 214.68,4435.50 200.25,4400.05 187.47,4367.79 180.52,4348.62 175.18,4328.94 175.01,4318.04 176.49,4304.79 178.09,4300.86"
1210006202,"237.87,4456.82 258.84,4427.01 273.84,4401.63 281.40,4382.54 294.01,4348.09"
1210029403,"426.29,3723.72 359.82,3699.22"
1210029503,"365.07,3684.96 431.55,3709.46"
1210030001,"396.11,3899.62 429.40,3749.02"
1210030002,"300.10,4328.83 307.88,4304.34 318.93,4258.05 339.18,4171.43 360.30,4076.45 360.45,4075.74 398.59,3903.21"
1210030102,"459.87,3755.75 414.39,3961.46"
1210030103,"410.56,3963.98 384.52,4081.83 363.36,4176.95 343.07,4263.75 331.80,4310.99 329.42,4318.48"
1210030203,"168.63,4284.83 142.18,4269.19"
1210030304,"153.17,4250.59 179.63,4266.23"
1210030501,"197.96,4277.06 227.73,4294.66"
1210030601,"24.21,4745.79 144.52,4580.76 206.83,4495.47 219.57,4477.34"
1210030701,"296.01,4424.97 277.28,4455.03 234.79,4515.50 172.31,4601.04 99.27,4701.23"
1210065300,"155.73,4244.01 173.19,4242.96 197.52,4237.28"
1210066200,"112.92,4447.18 143.88,4478.95 153.39,4486.89 165.27,4492.44 177.23,4493.53 185.50,4491.64 193.98,4486.34"
1210178700,"243.46,4303.40 312.01,4346.03"
1210178800,"300.60,4364.37 251.02,4333.52 186.97,4295.66"
1220002202,"4646.20,1934.29 4838.60,1473.08"
1220002302,"4867.38,1485.09 4674.99,1946.30"
1220002700,"4449.96,2411.55 4630.52,1972.16"
1220002800,"4659.38,1984.02 4478.82,2423.41"
1220002901,"4605.42,3676.83 4612.17,3622.00 4624.17,3496.40 4630.43,3435.92 4657.25,3166.18 4682.13,2936.66 4691.46,2834.52 4697.35,2773.78 4714.58,2649.41 4737.97,2461.09 4741.86,2435.17 4749.17,2398.65 4755.96,2373.25 4763.57,2349.56 4772.33,2325.59 4783.47,2297.43 4795.95,2271.52 4813.16,2239.84 4829.40,2215.81 4846.59,2192.53 4862.75,2171.54 4881.83,2149.95 4906.02,2125.55 4931.89,2102.28 4960.67,2079.73 4991.48,2059.19 5020.28,2042.38 5050.74,2026.74 5082.10,2013.09 5112.56,2001.94 5142.96,1992.02 5190.98,1978.63 5341.38,1937.32 5528.31,1886.69"
1220002902,"4308.92,4269.99 4316.33,4251.29 4327.45,4228.66 4340.61,4205.64 4361.05,4177.99 4388.60,4147.59 4410.01,4124.04 4433.89,4098.71 4453.80,4074.73 4478.01,4045.84 4490.50,4029.24 4508.14,4004.90 4520.04,3983.42 4533.98,3958.47 4545.29,3934.21 4557.95,3909.49 4564.81,3889.41 4575.91,3858.59 4587.63,3814.61 4590.62,3793.48 4602.07,3705.79 4604.47,3684.78"
1220003000,"5998.46,1729.26 5805.14,1816.00 5752.34,1839.80 5719.25,1853.78 5683.29,1866.62 5653.85,1876.06 5621.24,1885.95 5347.58,1960.08 5197.27,2001.38 5149.79,2014.63 5120.27,2024.25 5090.86,2035.01 5060.86,2048.07 5031.63,2063.08 5003.98,2079.21 4974.52,2098.86 4947.07,2120.37 4922.30,2142.65 4899.08,2166.08 4880.95,2186.57 4865.43,2206.74 4848.67,2229.43 4833.36,2252.11 4816.95,2282.29 4805.10,2306.91 4794.39,2333.99 4785.89,2357.23 4778.61,2379.90 4772.17,2404.01 4765.12,2439.24 4761.36,2464.29 4737.98,2652.49 4720.80,2776.54 4710.92,2878.31"
1220003101,"4417.47,2490.93 4437.25,2442.57"
1220003102,"4369.17,2607.12 4407.49,2515.12"
1220003103,"4341.11,2674.48 4359.13,2631.23"
1220003104,"4284.60,2814.46 4330.83,2699.61"
1220003201,"4466.13,2454.38 4446.35,2502.74"
1220003202,"4436.29,2527.12 4397.97,2619.11"
1220003203,"4387.93,2643.22 4369.91,2686.48"
1220003204,"4365.70,2713.65 4319.48,2828.50"
1220003302,"4084.36,3293.38 4260.91,2856.10"
1220003303,"4036.91,3413.23 4077.70,3317.91"
1220003402,"4298.75,2871.38 4122.20,3308.65"
1220003403,"4115.21,3333.96 4074.42,3429.28"
1220003900,"4710.45,2886.11 4705.62,2939.01 4680.72,3168.63 4653.91,3438.29 4647.66,3498.75 4635.63,3624.54 4625.48,3708.71 4614.01,3796.67 4610.79,3819.33 4598.47,3865.63 4587.08,3897.22 4579.73,3918.73 4566.49,3944.58 4555.01,3969.23 4540.66,3994.89 4528.09,4017.59 4509.48,4043.25 4496.50,4060.53 4471.93,4089.84 4451.58,4114.35 4427.33,4140.07 4406.07,4163.46 4379.33,4192.97 4360.41,4218.56 4348.30,4239.73 4337.77,4261.17 4328.66,4278.88"
1220004001,"3998.43,3492.00 4011.60,3458.21"
1220004002,"3763.88,4071.08 3992.08,3516.65"
1220004101,"4049.61,3473.02 4036.45,3506.81"
1220004102,"4029.81,3532.18 3801.61,4086.61"
1220004201,"3588.31,4485.90 3588.98,4484.14 3745.17,4107.94"
1220004202,"3562.35,4562.80 3581.84,4511.81"
1220004203,"3548.59,4628.70 3551.22,4611.94 3554.74,4594.61 3560.10,4578.37"
1220004302,"3622.94,4527.52 3609.76,4561.98 3599.97,4587.75 3594.24,4605.11 3591.39,4619.16 3588.89,4635.03"
1220004304,"3788.76,4126.04 3649.74,4460.89"
1220004305,"3646.83,4459.54 3629.70,4501.70"
1220004401,"4527.33,3881.02 4538.85,3877.49 4561.60,3872.93 4597.88,3867.76 4623.36,3864.42 4652.90,3861.40 4662.30,3860.70"
1220004501,"4701.80,3910.82 4649.67,3913.95 4629.05,3917.07 4605.98,3922.97 4577.29,3932.17 4555.46,3940.75 4538.52,3949.48 4523.18,3959.53 4507.40,3969.61 4493.93,3980.17 4479.45,3993.70 4463.16,4009.50 4449.64,4026.77 4422.73,4062.53 4334.22,4186.88 4327.85,4196.52"
1220004502,"4281.51,4261.68 4242.71,4303.36 4221.30,4323.64 4193.42,4348.23 4165.52,4372.03 4144.13,4389.00 4124.05,4403.82 4104.67,4418.20 4044.00,4464.44 3975.22,4516.73 3826.97,4628.96"
1220004801,"3557.52,4693.82 3556.38,4689.31 3553.03,4673.57"
1220004802,"3658.84,4919.11 3563.82,4718.59"
1220004902,"3574.89,4672.51 3577.43,4684.41 3584.06,4710.83 3675.73,4904.30"
1220005401,"2057.52,5449.63 2433.45,5327.97 2480.52,5309.71 2517.65,5293.14 2564.14,5272.66 2705.02,5212.50 2754.83,5191.09 2796.35,5175.72 2851.76,5158.60 3133.94,5066.08 3303.15,5011.26 3379.18,4987.54 3408.96,4974.96 3432.97,4962.51 3454.74,4949.29 3476.32,4934.62 3492.28,4921.12 3503.43,4911.84"
1220005402,"3551.63,4865.91 3566.87,4846.20 3603.14,4789.41 3631.16,4747.04 3660.76,4710.05 3699.72,4671.59 3721.69,4651.39 3742.83,4632.08 3772.44,4609.42 3852.30,4549.93 3903.51,4513.33"
1220005502,"3319.70,5064.44 3319.42,5064.53 3147.82,5119.01 2866.87,5208.30 2810.85,5228.04 2773.40,5242.60 2720.86,5265.09 2580.02,5325.25 2534.55,5344.57 2498.34,5358.17 2449.97,5374.78 2281.66,5427.72"
1220005503,"3813.73,4638.13 3794.35,4653.79 3771.93,4675.20 3756.35,4693.45 3738.57,4714.85 3701.81,4758.47 3678.25,4787.50 3636.96,4837.93 3600.54,4881.62 3583.79,4901.54 3564.97,4922.40 3544.10,4943.77 3523.48,4962.39 3501.59,4979.85 3478.45,4995.73 3454.38,5010.06 3429.16,5021.92 3400.01,5034.63 3321.33,5060.53"
1220005601,"1421.60,5722.60 1391.31,5728.71 1372.63,5731.97 1350.81,5733.64 1332.61,5734.84 1309.14,5734.53 1284.95,5733.43 1265.20,5731.45 1246.92,5729.40 1222.46,5724.64 1200.66,5719.08 1180.72,5713.85 1157.48,5705.44 1137.95,5697.79 1110.29,5685.08 1106.78,5683.22"
1220005603,"2239.43,5437.65 2139.01,5469.24 1948.72,5532.81 1801.53,5582.85 1760.10,5596.71 1671.29,5631.09 1588.84,5662.90 1544.60,5680.18 1503.34,5695.85 1461.57,5710.50 1435.95,5717.59 1429.43,5719.47"
1220005701,"936.65,5480.55 980.22,5533.07 999.71,5555.91 1014.43,5571.51 1028.59,5584.71 1043.23,5598.35 1063.08,5612.97 1086.06,5628.60 1102.81,5638.40 1128.65,5650.93 1151.80,5660.94 1170.62,5667.16 1190.06,5673.43 1210.49,5679.25 1231.99,5684.24 1253.15,5687.69 1270.05,5690.08 1291.66,5692.36 1312.31,5693.87 1331.38,5693.85 1349.40,5693.47 1369.66,5692.26 1387.13,5690.33 1405.29,5687.61 1426.93,5682.73 1450.81,5676.12 1491.00,5662.03 1531.51,5646.64 1564.55,5632.26"
1220005703,"1571.29,5629.33 1574.99,5627.72 1659.70,5591.74 1744.98,5558.06 1789.68,5542.77 1908.34,5501.33 2055.48,5453.67"
1220010202,"1830.95,236.82 1678.96,214.50"
1220010205,"2014.55,265.28 1863.05,242.12"
1220010206,"1863.05,242.12 1838.73,238.40"
1220010207,"2288.10,307.14 2153.88,286.60"
1220010208,"2127.74,282.60 2040.65,269.27"
1220010305,"1842.96,210.72 1867.29,214.43"
1220010306,"1867.29,214.43 2018.79,237.61"
1220010307,"2044.88,241.60 2131.98,254.92"
1220010308,"2158.12,258.92 2292.34,279.45"
1220010600,"2661.40,383.28 2606.20,360.93 2562.12,349.14 2523.06,341.54 2327.00,312.93"
1220010700,"2331.04,285.23 2527.76,313.93 2568.42,321.84 2615.10,334.33 2671.91,357.33"
1220011402,"3067.69,553.93 3098.82,473.95"
1220011403,"3062.68,566.78 3063.03,565.88"
1220011502,"3124.92,484.11 3092.50,567.38"
1220011503,"3088.06,578.78 3087.99,578.96"
1220011802,"1470.61,678.44 1634.26,221.94 1641.33,206.52"
1220011803,"1448.34,733.05 1458.68,702.82"
1220011902,"1669.69,219.53 1663.17,233.73 1499.98,688.97"
1220011903,"1491.22,713.95 1480.88,744.18"
1220012401,"3028.08,590.24 2661.96,383.55"
1220012402,"3038.72,596.25 3038.54,596.15"
1220012501,"2675.73,359.17 3037.69,563.51"
1220012502,"3049.02,569.91 3050.92,570.98"
1220013401,"2310.91,601.38 2294.87,417.01 2294.32,390.77 2294.19,353.35 2295.78,319.84"
1220013403,"2279.51,1030.50 2298.87,976.38 2317.45,924.85 2325.76,892.54 2330.81,862.04 2330.55,819.76 2325.55,764.30"
1220013404,"2323.01,736.14 2313.27,628.25"
1220013501,"2317.36,320.87 2315.79,353.83 2315.91,390.50 2316.46,415.84 2332.42,599.51"
1220013503,"2334.78,626.31 2344.52,734.20"
1220013504,"2347.06,762.36 2352.15,818.72 2352.42,863.75 2346.91,897.00 2338.11,931.21 2319.21,983.68 2299.85,1037.78"
1220014000,"3561.78,835.28 3564.04,825.56 3584.95,731.39"
1220014100,"3602.91,735.37 3581.99,829.65 3579.70,839.45"
1220014201,"3085.32,621.88 3078.64,618.29"
1220014202,"3537.13,865.07 3097.83,628.61"
1220014301,"3090.94,593.10 3091.11,593.20"
1220014302,"3102.02,599.07 3550.40,840.41"
1220015401,"1557.68,802.58 1479.37,775.80"
1220015402,"1599.72,818.48 1582.47,811.83"
1220015403,"1746.05,871.92 1624.36,827.70"
1220015501,"1486.36,755.35 1564.67,782.14"
1220015502,"1590.25,791.67 1607.50,798.33"
1220015503,"1631.74,807.40 1753.42,851.62"
1220016001,"3046.43,615.58 3047.07,614.05"
1220016002,"2800.10,1220.84 2840.99,1102.65 2867.17,1038.64 3040.15,630.69"
1220016101,"3066.86,622.43 3064.08,628.99"
1220016102,"3058.85,641.35 2887.11,1046.94 2861.21,1110.27 2820.52,1227.90"
1220016201,"1425.27,795.12 1435.42,768.66"
1220016203,"1310.80,1124.93 1363.13,978.05"
1220016204,"1365.82,970.51 1418.82,821.77"
1220016301,"1464.55,779.84 1454.39,806.30"
1220016303,"1445.19,831.16 1392.19,979.91"
1220016304,"1392.52,988.52 1340.19,1135.41"
1220016601,"1900.60,926.31 1776.85,882.93"
1220016602,"2260.92,1056.12 1925.25,935.08"
1220016701,"1784.00,862.54 1907.75,905.93"
1220016702,"1932.58,914.76 2268.25,1035.81"
1220017600,"1624.56,1236.71 1751.32,883.16"
1220017700,"1765.64,888.29 1638.86,1241.84"
1220018404,"3813.59,1016.92 3652.33,927.76 3576.56,886.44"
1220018405,"3952.22,1093.57 3952.02,1093.46"
1220018406,"3928.91,1080.68 3837.09,1029.92"
1220018407,"4238.71,1250.71 4062.32,1153.95"
1220018408,"4039.17,1141.26 3952.52,1093.74"
1220018503,"3589.97,861.86 3665.81,903.22 3827.14,992.42"
1220018505,"3850.64,1005.41 3942.46,1056.18"
1220018506,"3965.57,1068.96 3965.77,1069.07"
1220018507,"3965.99,1069.19 4052.63,1116.71"
1220018508,"4075.78,1129.41 4252.18,1226.15"
1220019002,"2777.85,1246.78 2769.22,1244.70 2670.37,1207.53"
1220019003,"2645.61,1198.29 2416.63,1113.57"
1220019004,"2416.63,1113.57 2297.95,1069.66"
