sampledSeconds_0,sampledSeconds_1,sampledSeconds_2,sampledSeconds_3,traveltime_0,traveltime_1,traveltime_2,traveltime_3,overlapTraveltime_0,overlapTraveltime_1,overlapTraveltime_2,overlapTraveltime_3,density_0,density_1,density_2,density_3,laneDensity_0,laneDensity_1,laneDensity_2,laneDensity_3,occupancy_0,occupancy_1,occupancy_2,occupancy_3,waitingTime_0,waitingTime_1,waitingTime_2,waitingTime_3,timeLoss_0,timeLoss_1,timeLoss_2,timeLoss_3,speed_0,speed_1,speed_2,speed_3,speedRelative_0,speedRelative_1,speedRelative_2,speedRelative_3,entered_0,entered_1,entered_2,entered_3,left_0,left_1,left_2,left_3,Avg_Vehicle_on_the_lane_0,Avg_Vehicle_on_the_lane_1,Avg_Vehicle_on_the_lane_2,Avg_Vehicle_on_the_lane_3,Avg_Volume_0,Avg_Volume_1,Avg_Volume_2,Avg_Volume_3,Total_travelled_distance_0,Total_travelled_distance_1,Total_travelled_distance_2,Total_travelled_distance_3,Avg_waitingtime_0,Avg_waitingtime_1,Avg_waitingtime_2,Avg_waitingtime_3,Prev_lat_sig_0,Prev_lat_sig_1,Prev_lat_sig_2,Prev_lat_sig_3,Prev_lon_sig_0,Prev_lon_sig_1,Prev_lon_sig_2,Prev_lon_sig_3,Next_lat_sig_0,Next_lat_sig_1,Next_lat_sig_2,Next_lat_sig_3,Next_lon_sig_0,Next_lon_sig_1,Next_lon_sig_2,Next_lon_sig_3,Prev_include_edge_cnt_0,Prev_include_edge_cnt_1,Prev_include_edge_cnt_2,Prev_include_edge_cnt_3,Next_include_edge_cnt_0,Next_include_edge_cnt_1,Next_include_edge_cnt_2,Next_include_edge_cnt_3,Green_time_0,Green_time_1,Green_time_2,Green_time_3,Length_0,Length_1,Length_2,Length_3,Speed_limit_0,Speed_limit_1,Speed_limit_2,Speed_limit_3,priority_0,priority_1,priority_2,priority_3,time
0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,211779.55,0,211641.52,211806.67,452558.81,0,452890.24,452708.18,211641.52,211806.67,211805.72,0,452890.24,452708.18,452496.12,0,3,-1,2,3,1,2,2,-1,35,-1,6,34,116.77,-1,220.5,50.03,16.67,-1,16.67,19.44,7,-1,7,6,0
0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,211987.12,211931.47,0,212060.38,452728.88,452763.22,0,452807.52,0,212060.38,211987.12,211931.47,0,452807.52,452728.88,452763.22,3,2,-1,3,-1,2,2,2,34,35,-1,6,42.65,32.87,-1,78.24,22.22,22.22,-1,22.22,6,6,-1,6,0
0,0,0,1,0,0,0,67.85,0,0,0,70.33,0,0,0,0.91,0,0,0,0.3,0,0,0,0.15,0,0,0,0,0,0,0,0.86,0,0,0,2.01,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,6.58476,0,0,0,2.01,0,0,0,0,212259.57,212060.38,212173.41,212297.49,452906.34,452807.52,452984.81,453068.45,212173.41,212297.49,212259.57,212060.38,452984.81,453068.45,452906.34,452807.52,3,3,2,3,2,2,2,2,29,29,29,29,50.8,199.73,23.46,136.71,13.89,22.22,8.33,13.89,6,6,4,6,0
0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,213095.21,212991.19,213015.67,0,453261.13,453340.21,453386.75,0,213015.67,0,213095.21,212991.19,453386.75,0,453261.13,453340.21,4,3,4,-1,3,-1,3,2,24,24,24,-1,79.92,28.94,12.63,-1,13.89,13.89,13.89,-1,6,5,6,-1,0
0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,211859.48,0,213181.76,213435.07,452368.23,0,453101.95,453003.92,211846.53,213435.07,213254.25,0,452396.24,453003.92,452951.85,0,3,-1,4,3,2,3,3,-1,38,-1,38,37,9.75,-1,123.3,180.76,16.67,-1,13.89,8.33,7,-1,6,4,0
0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,211846.53,0,211823.4,211987.98,452396.24,0,452452.84,452434.73,211641.52,211987.98,211859.48,0,452890.24,452434.73,452368.23,0,2,-1,4,3,1,2,3,-1,35,-1,6,34,171.69,-1,56.98,126.01,16.67,-1,16.67,22.22,7,-1,7,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211894.68,211811.17,211859.48,211916.36,452070.56,452200.19,452368.23,452225.77,211859.48,212063.04,211805.72,211440.39,452368.23,452221.08,452496.12,452103.95,2,5,5,5,3,3,2,3,29,29,29,29,105.91,54.72,103.34,6.47,22.22,13.89,13.89,13.89,6,9,7,9,0
0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,212852.99,0,212804.38,213026.06,452415.03,0,452496,452484.71,212748.61,0,212852.99,212747.44,452551.29,0,452415.03,452404.17,3,-1,3,3,2,-1,3,3,30,-1,20,26,12.1,-1,49.2,170.18,13.89,-1,13.89,13.89,6,-1,6,9,0
0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,212873.56,212590.49,212838.9,0,452361.55,452311.76,452442.96,0,212838.9,212929.98,212873.56,0,452442.96,452448.84,452361.55,0,2,3,3,-1,3,3,2,-1,38,37,6,-1,43.73,271,12.1,-1,13.89,13.89,13.89,-1,6,9,6,-1,0
0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,213383.65,0,213359.56,213516.3,452432.38,0,452604.78,452465.64,213359.56,0,213383.65,213242.67,452604.78,0,452432.38,452467.92,4,-1,3,3,3,-1,4,3,38,-1,38,37,15.35,-1,126.57,85.06,13.89,-1,13.89,13.89,6,-1,6,7,0
