id,shape
-104010328,"212886.36,451535.12 212906.60,451534.67 212925.35,451533.16 212941.81,451530.77 212976.18,451525.39 212989.38,451522.35"
-10427692#1,"211775.72,451853.73 211760.52,451808.48 211756.54,451796.68"
-10427692#3,"211802.35,451903.33 211793.14,451892.39 211785.67,451879.57"
-10427692#4,"211830.25,451921.42 211815.96,451913.64 211802.35,451903.33"
-10427692#5,"211888.94,451960.58 211876.04,451948.01 211860.74,451935.61 211830.25,451921.42"
-10427692#6,"211900.73,451995.70 211898.66,451986.34 211894.93,451973.41 211888.94,451960.58"
-10427692#7,"211895.28,452061.72 211897.01,452029.58 211900.73,451995.70"
-120125554,"212052.06,451838.47 212047.31,451839.50 212010.20,451851.44"
-128361102#1,"211644.12,451841.31 211573.07,451870.88 211387.33,451949.58"
-129379918#1,"213254.25,452951.85 213250.68,452959.77 213240.97,452982.48"
-129379921#0,"213050.09,453335.94 213037.19,453355.25"
-129379921#1,"213095.21,453261.13 213063.24,453315.57 213050.09,453335.94"
-129379922,"213181.76,453101.95 213177.13,453111.19 213162.89,453140.28"
-136436468#0,"212783.18,452600.02 212832.60,452623.39 212867.36,452635.15 212884.78,452641.16"
-136436468#2,"212732.00,452562.83 212750.10,452579.08 212783.18,452600.02"
-136728347#4,"212429.94,451680.88 212402.54,451678.16 212391.24,451677.03 212338.92,451671.82 212277.92,451666.08 212249.05,451664.41 212239.36,451664.04 212209.65,451663.73 212186.48,451663.65 212151.02,451665.85"
-137132992#2,"212241.41,452350.23 212243.75,452361.79 212243.51,452374.98 212242.99,452402.97 212242.84,452413.88"
-137454133#5,"212150.49,452323.38 212148.86,452334.66 212109.55,452397.08 212102.77,452403.74 212098.78,452405.88 212094.04,452408.41 212076.72,452408.44 212052.70,452399.04 212041.95,452395.66 212028.63,452394.90 212010.07,452399.94 212000.81,452408.35 211996.92,452411.88"
-138300620#6,"212424.48,452104.45 212404.99,452164.81 212403.90,452168.19 212400.88,452177.54 212399.05,452183.23 212396.08,452196.92 212395.06,452207.00 212393.72,452225.95 212392.65,452240.98 212392.02,452249.83"
-160314345#2,"213215.38,452276.20 213208.73,452274.35 213175.11,452264.98 213125.07,452245.12"
-160314345#3,"213298.10,452289.06 213257.13,452285.09 213215.38,452276.20"
-164051413,"212983.02,451458.25 212968.39,451454.26"
-170018165#3,"211730.78,452677.54 211742.66,452648.51 211771.33,452578.49 211804.72,452498.57 211805.72,452496.12"
-170425366#6,"211706.63,451607.94 211699.82,451609.76 211648.12,451621.79 211598.74,451632.86 211596.66,451635.89 211596.40,451639.84 211605.31,451669.88 211617.34,451707.68 211620.49,451711.26 211625.86,451712.92 211664.55,451699.72 211716.07,451684.33 211723.16,451682.62"
-173169611#0,"213001.50,451125.40 213016.24,451139.94 213025.32,451149.05 213036.31,451158.09 213056.68,451170.85 213062.13,451173.79"
-173177776#1,"211692.46,451348.01 211687.01,451345.75 211652.67,451329.70 211642.31,451332.68"
-173203413#7,"212573.07,452331.09 212571.11,452336.37 212564.51,452354.15 212554.90,452380.03 212546.10,452400.87 212534.71,452427.86 212530.24,452441.22 212523.31,452461.95 212515.99,452481.46 212501.65,452519.66"
-174800513,"212838.90,452442.96 212850.59,452420.99"
-18809672#1,"211748.74,451769.58 211753.59,451787.42 211756.54,451796.68"
-18809672#4,"211723.16,451682.62 211729.30,451706.03 211731.60,451715.03 211748.74,451769.58"
-18809672#7,"211694.37,451554.17 211706.63,451607.94"
-18809673#1.275,"211732.56,451158.93 211743.13,451163.29 211766.89,451172.24 211776.71,451176.17"
-18809673#6,"211318.99,451077.68 211337.22,451073.35 211349.11,451071.78 211359.13,451070.89 211365.81,451070.29 211401.00,451068.63 211425.79,451067.49 211467.00,451066.42 211479.75,451066.36 211524.91,451066.35 211556.18,451070.75 211581.71,451077.04 211608.34,451086.29 211634.06,451099.88 211703.03,451144.30 211724.49,451155.61 211732.56,451158.93"
-18813598#1,"211841.83,451199.27 211837.18,451197.58 211785.24,451179.50 211776.71,451176.17"
-18813598#6,"212065.35,451262.37 212013.04,451248.37 211984.36,451240.69 211978.80,451239.20 211953.25,451232.10 211925.09,451224.26 211871.78,451208.69 211841.83,451199.27"
-18813598#7,"212363.17,451347.03 212346.05,451348.20 212328.93,451348.23 212301.22,451347.05 212273.16,451344.22 212231.73,451333.12 212187.97,451317.83 212145.97,451297.91 212065.35,451262.37"
-18813598#8,"212494.81,451334.42 212441.79,451333.27 212363.17,451347.03"
-201089420#1,"212292.04,452878.01 212333.32,452845.30 212358.00,452826.05"
-201089423#1,"213191.28,451809.71 213213.13,451862.73 213220.84,451881.96"
-201089423#2,"213168.51,451758.74 213180.23,451782.69 213191.28,451809.71"
-201201945#0,"212748.61,452551.29 212774.22,452528.93 212804.38,452496.00"
-201201945#0.78,"212804.38,452496.00 212804.57,452495.79 212838.90,452442.96"
-201201945#2,"212628.08,452625.24 212657.77,452609.25 212708.94,452579.32 212732.00,452562.83"
-201201945#6,"212474.90,452739.37 212511.38,452710.79 212548.71,452681.54 212568.35,452666.98 212596.37,452646.20 212628.08,452625.24"
